tag,id,name,classes,text,xpath
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[22]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[22]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[22]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[23]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[23]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[23]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[24]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[24]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[24]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[25]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[25]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[25]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[26]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[26]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[26]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[27]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[27]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[27]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[28]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[28]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[28]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[29]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[29]/div/div/div[2]/div/a"
